relative_path,label
/wiki/Juggalo,Juggalo
/wiki/Junglecore,Junglecore
/wiki/Junkpunk,Salvagepunk
/wiki/Karasu_Zoku,Karasu Zoku
/wiki/Kawaii,Kawaii
/wiki/Kawaii_Gamer,Kawaii Gamer
/wiki/Kidcore,Kidcore
/wiki/Kid_Science,Kid Science
/wiki/Kinderwhore,Kinderwhore
/wiki/Kingcore,Kingcore
/wiki/Knightcore,Knightcore
/wiki/Kogal,Kogal
/wiki/Kuromicore,Kuromicore
/wiki/Labcore,Labcore
/wiki/Laborwave,Laborwave
/wiki/Lagenlook,Lagenlook
/wiki/Larme_Kei,Larme Kei
/wiki/La_Sape,La Sape
/wiki/Light_Academia,Light Academia
/wiki/Lightningwave,Stormywave
/wiki/Lil_Girl,Lil Girl
/wiki/Lit_Kid,Lit Kid
/wiki/Liminal_Space,Liminal Space
/wiki/Lo-Fi,Lo-Fi
/wiki/Lolita,Lolita
/wiki/Lounge,Lounge
/wiki/Lovecore,Lovecore
/wiki/Lunarpunk,Lunarpunk
/wiki/Macaute,Macaute
/wiki/Mad_Scientist,Mad Scientist
/wiki/Magewave,Magewave
/wiki/Maidcore,Maidcore
/wiki/Mallgoth,Mallgoth
/wiki/Mall_Ninja,Mall Ninja
/wiki/Maximalism,Maximalism
/wiki/McBling,McBling
/wiki/Medicalcore,Medicalcore
/wiki/Medieval,Medieval
/wiki/MTV_Green_Sky,MTV Green Sky
/wiki/Memphis,Memphis
/wiki/Metal,Metal
/wiki/Metalcore,Metalcore
/wiki/Metrosexual,Metrosexual
/wiki/Miami_Metro,Miami Metro
/wiki/Midwest_Emo,Midwest Emo
/wiki/Midwest_Gothic,Midwest Gothic
/wiki/Military,Military
/wiki/Milk,Milk
/wiki/Miscellaneous_Academia,Miscellaneous Academia
/wiki/Modernism,Modernism
/wiki/Mori_Kei,Mori Kei
/wiki/Morute,Morute
/wiki/Mote_Kei,Mote Kei
/wiki/Mosscore,Mosscore
/wiki/MS_Paint,MS Paint
/wiki/Mushroomcore,Mushroomcore
/wiki/Musical_Academia,Musical Academia
/wiki/Minimalism,Minimalism
/wiki/Minimalism,Indie Minimalism
/wiki/Minimalism,Pastel Minimalism
/wiki/Minimalism,Matcha Minimalism
/wiki/Mod,Mod
/wiki/Nanopunk,Nanopunk
/wiki/Natural_Philosophy,Green Academia
/wiki/Naturecore,Naturecore
/wiki/Nautical,Nautical
/wiki/Nazi_Chic,Nazi Chic
/wiki/Neko,Neko
/wiki/Neomilitarism,Neomilitarism
/wiki/Nerd,Nerd
/wiki/Nerdcore,Nerdcore
/wiki/New_Age,New Age
/wiki/New_Romantic,New Romantic
/wiki/Neo-Romanism,Neo-Romanism
/wiki/Nintencore,Nintencore
/wiki/Normcore,Normcore
/wiki/Northerness,Northerness
/wiki/Nostalgiacore,Nostalgiacore
/wiki/Nuclear,Nuclearcore
/wiki/Nymphet,Nymphet
/wiki/Ocean_Academia,Ocean Academia
/wiki/Ocean_Grunge,Ocean Grunge
/wiki/Old_Hollywood,Old Hollywood
/wiki/Old_Web,Webcore
/wiki/Oshare_Kei,Oshare Kei
/wiki/Pale,Pale Grunge
/wiki/Palewave,Palewave
/wiki/Paleocore,Paleocore
/wiki/Party_Animal,Party Animal
/wiki/Party_Kei,Party Kei
/wiki/Pastel,Pastel
/wiki/Pastel_Academia,Pastel Academia
/wiki/Pastel_Goth,Pastel Goth
/wiki/Pastel_Punk,Pastel Punk
/wiki/Peach,Modern Peach
/wiki/Peach,Vintage Peach
/wiki/Pearly,Pearly
/wiki/Peoplehood,Peoplehood
/wiki/Photorealism,Photorealism
/wiki/Pink_Parisian,Vintage Parisian
/wiki/Pink_Princess_Aesthetic,Pink Princess
/wiki/Pin-up,Pin-up
/wiki/Pirate,Pirate
/wiki/Pixel_Cutie,Pixel Cutie
/wiki/Pixiecore,Pixiecore
/wiki/Plaguecore,Plaguecore
/wiki/Plant_Mom,Plant Mom
/wiki/Playboy,Playboy
/wiki/Pop,Pop
/wiki/Pop_Art,Pop Art
/wiki/Pop_Kei,Pop Kei
/wiki/Post-Impressionism,Post-Impressionism
/wiki/Postmodernism,Postmodernism
/wiki/Post-Apocalyptic,Post-Apocalyptic
/wiki/Post-rock,Post-rock
/wiki/Prairiecore,Prairiecore
/wiki/Preppy,Preppy
/wiki/Princecore,Princecore
/wiki/Princesscore,Princesscore
/wiki/Psychedelica,Psychedelica
/wiki/Punk,Punk
/wiki/Purism,Purism
/wiki/Queencore,Queencore
/wiki/Queer_Academia,Queer Academia
/wiki/Queercore,Queercore
/wiki/R%26B,R&B
/wiki/Racaille,Racaille
/wiki/Rainbowcore,Rainbowcore
/wiki/Rainy_Day,Rainy Day
/wiki/Rangercore,Rangercore
/wiki/Ratcore,Ratcore
/wiki/Ravencore,Ravencore
/wiki/Raver,Raver
/wiki/Real_Life_Super_Hero,Real Life Super Hero
/wiki/Realism,Realism
/wiki/Reefwave,Reefwave
/wiki/Regency,Regency
/wiki/Retro-Futurism,Retro-Futurism
/wiki/Rivethead,Rivethead
/wiki/Roaring_20s,Roaring 20s
/wiki/Robotics_Kids,Robotics Kids
/wiki/Rococo,Rococo
/wiki/Rollerwave,Rollerwave
/wiki/Roma,Roma
/wiki/Romantic_Goth,Romantic Goth
/wiki/Romanticism,Romanticism
/wiki/Romantic_Academia,Romantic Academia
/wiki/Romantic_Italian,Romantic Italian
/wiki/Royalcore,Royalcore
/wiki/Rotcore,Rotcore
/wiki/Rusticcore,Rusticcore
/wiki/Sadpeople,Sadpeople
/wiki/Sandalpunk,Sandalpunk
/wiki/Sanriocore,Sanriocore
/wiki/Science_Academia,Science Academia
/wiki/Scrapbook,Scrapbook
/wiki/Scrapper,Scrapper
/wiki/Scene,Scene
/wiki/Scoutcore,Scoutcore
/wiki/Seapunk,Seapunk
/wiki/Selkiecore,Selkiecore
/wiki/Shanzhai,Shanzhai
/wiki/Sh%C4%81_m%C7%8E_t%C3%A8,Shā mǎ tè
/wiki/Shabby_Chic,Shabby Chic
/wiki/Shironuri,Shironuri
/wiki/Sizz,Sizz
/wiki/Sleepycore,Sleepycore
/wiki/Slimepunk,Slimepunk
/wiki/Sloanies,Sloanies
/wiki/Slutcore,Slutcore
/wiki/Snowdrop,Snowdrop
/wiki/Snow_bunny,Snow Bunny
/wiki/Soft_Apocalypse,Soft Apocalypse
/wiki/Softie,Softgirl
/wiki/Softie,Soft Baddie
/wiki/Softie,Dark Softgirl
/wiki/Softie,Softboy
/wiki/Soft_grunge,Soft Grunge
/wiki/Soft_Macabre,Soft Macabre
/wiki/Soggy,Soggy
/wiki/Solarpunk,Solarpunk
